"06-09-2017","Les 30 histoires incroyables","TFX","21h00","1.4%"
"06-09-2017","Soeur Thérèse.com","Chérie 25","20h55","1.2%"
"06-09-2017","Père et maire","Gulli","20h55","0.9%"
"06-09-2017","InvestigatiÃ´ns","France Ô","21h00","0.5%"
"06-09-2017","Devil's Playground","Numéro 23","20h55","0.5%"
"07-09-2017","Profilage","TF1","21h00","22.9%"
"07-09-2017","Envoyé spécial","France 2","21h00","13.4%"
"07-09-2017","En équilibre","France 3","20h55","10.5%"
"07-09-2017","Scorpion","M6","21h00","9.3%"
"07-09-2017","Safe","C8","21h00","4.2%"
"07-09-2017","The Amazing Spider-Man","TMC","21h00","4.2%"
"07-09-2017","Cold Case","France 4","Unknown","2.6%"
"07-09-2017","Survivor","W9","21h00","2.6%"
"07-09-2017","Wild Wild West","CSTAR","20h50","2.3%"
"07-09-2017","Green Zone","NRJ 12","20h55","2.2%"
"07-09-2017","Secret Story","TFX","21h00","2.2%"
"07-09-2017","La grande librairie","France 5","20h50","1.8%"
"07-09-2017","La smala s'en mêle","France Ô","20h55","1.7%"
"07-09-2017","Le casse de Central Park","TF1 Séries Films","21h00","1.7%"
"07-09-2017","Non élucidé","Numéro 23","20h55","1.6%"
"07-09-2017","La science des forces de la nature","RMC","20h50","1.5%"
"07-09-2017","Bankerot","ARTE","20h55","1.3%"
"07-09-2017","Départ immédiat","6ter","21h00","1.2%"
"07-09-2017","La famille Jones","Chérie 25","20h55","1.1%"
"07-09-2017","Les trésors du livre des records","Gulli","20h55","0.6%"
"08-09-2017","Koh-Lanta","TF1","21h00","24.9%"
"08-09-2017","Les petits meurtres d'Agatha Christie","France 2","21h00","19.5%"
"08-09-2017","NCIS : enquêtes spéciales","M6","Unknown","12.8%"
"08-09-2017","Thierry Le Luron, le miroir d'une époque","France 3","20h55","7.3%"
"08-09-2017","Enquête d'action","W9","21h00","2.7%"
"08-09-2017","Je ne me tairai pas","ARTE","20h55","2.5%"
"08-09-2017","La maison France 5","France 5","20h50","2.4%"
"08-09-2017","Mentalist","TMC","21h00","2.2%"
"08-09-2017","Quand le direct part en live ! volume 3","C8","21h00","2.1%"
"08-09-2017","Une Ferrari pour deux","Chérie 25","20h55","1.8%"
"08-09-2017","Super Nanny","TFX","21h00","1.6%"
"08-09-2017","Nazi Megastructures","RMC","20h50","1.1%"
"08-09-2017","Planète dinosaures","France 4","20h55","1.1%"
"08-09-2017","Le zap","CSTAR","20h50","1.1%"
"08-09-2017","Soupçon de magie","6ter","21h00","1.1%"
"08-09-2017","Diane, femme flic","NRJ 12","20h55","1.0%"
"08-09-2017","Clem","TF1 Séries Films","21h00","1.0%"
"08-09-2017","La gardeuse d'oie","Gulli","Unknown","0.8%"
"08-09-2017","Navy Seals, les commandos secrets de l'Amérique","Numéro 23","20h55","0.7%"
"08-09-2017","Luther","France Ô","21h00","0.4%"
"09-09-2017","The Voice Kids","TF1","21h00","23.8%"
